age,male,female
0,67994436,63744235
1,67148452,62911581
2,66603623,62317025
3,66098788,61787149
4,65711186,61363766
5,65333507,60959953
6,64895184,60505863
7,64521780,60147817
8,64243339,59869667
9,63942197,59554397
10,63357444,58991632
11,62741543,58411879
12,62303333,57996429
13,61951136,57674319
14,61558180,57311780
15,61303458,57085851
16,61202866,56996919
17,61091825,56927407
18,61025525,56899457
19,61078703,57031620
20,61095449,57128779
21,61259701,57334211
22,61315918,57481370
23,61009970,57372042
24,60679984,57212931
25,60728190,57405835
26,60867115,57748566
27,63915085,61562876
28,61412307,59644644
29,60455381,58003454
30,60483511,58163680
31,57718474,55624208
32,55982945,54044707
33,55262130,53580409
34,54728675,53219491
35,55844655,54100793
36,52081266,50506931
37,51706600,50212093
38,50645741,49285837
39,49446564,48226945
40,48904454,47770829
41,48673906,47639219
42,48638562,47672263
43,48763580,47906670
44,48627990,47880725
45,48201006,47349266
46,48406759,47451390
47,47421854,46778077
48,46999822,46412291
49,44804327,44249047
50,42952726,42731927
51,43040679,43053647
52,42170045,42435655
53,41720814,42214968
54,41726801,42236671
55,35394497,36416955
56,32571647,33889973
57,33092583,34306213
58,31991172,33354240
59,33148325,34491429
60,31610822,33280238
61,30137458,32011376
62,29960795,31840343
63,28174885,30212385
64,26591585,28773512
65,25366634,27606145
66,23353777,25698126
67,22891245,25170672
68,20872938,23228832
69,19642055,21996622
70,18404653,20805691
71,16039379,18356856
72,14878054,17154007
73,14056403,16395565
74,13159523,15667658
75,12465762,15260120
76,11665026,14558984
77,10692266,13706397
78,9692279,12726952
79,8948266,11994871
80,8004666,10999376
81,7117863,10041961
82,6208771,9001456
83,5408115,8039480
84,4711016,7295720
85,3995658,6444139
86,3417219,5756201
87,2876578,5076663
88,2304737,4294136
89,1872812,3649173
90,1450114,2996443
91,1112918,2458552
92,845052,1997283
93,617841,1556077
94,444060,1193182
95,319908,911040
96,225680,684847
97,149566,484624
98,89916,309027
99,57286,209432
100 +,97914,423119
